filing_uuid,general_issue_code
7fac7951-4e99-496f-be03-751c35683aaa,ENV
091093bb-0d7f-4f99-90fb-e1df93b22645,TAX
4eeb7763-086a-4d8e-a405-e35d9b030374,TAX
89ae3223-f2d4-4051-955e-463d0c24af25,HCR
0fe2562a-1bb8-4e5d-aa9c-defd22d4ad18,TAX
067ba0bd-9205-4987-83b3-7c8522d645ab,PHA
12bf82ae-fd3c-4cd6-bd86-4d04c80f1884,AER
2361ae3f-3441-40cc-ba7c-7f5525baeaaf,TOR
3cd72335-1869-4239-9783-4a54da2a7f15,EDU
8e3ec853-b5b2-40f3-950a-c7df8abf3006,CPT
ab451b22-1770-4040-b602-0229312e49fd,ENG
d0a2cc7d-10f2-45db-b907-9bebd70fc47a,IMM
ee21a27e-b990-4568-a677-5d8afed49a39,APP
395a03ca-3c09-43dc-ac27-c19c78808694,TAX
904789dc-c01c-406c-b350-cf1fa5012e2f,LAW
e26708f0-2a45-4daa-80c0-015ee8d33815,CSP
8fc462ff-490c-4da7-90e4-eb4034bea4d1,BUD
76ed0348-98e0-4fda-a450-43087cebdedd,FOR
a50533cc-fad1-4ee6-a4a1-13eb119b6b7a,HCR
9328de42-a3fb-4a3b-9ddd-6a963f88dafd,IND
c62d367d-d5c7-4a15-9893-d05652a40b7f,UTI
b0bc2441-e995-42a4-924a-ba37b89885a7,BUD
2f8abb6b-3446-466c-8da7-d6c25b76694a,RRR
87f36743-f537-402f-b786-3fd8d754a889,TAX
6ca63464-7052-43ed-83ac-b2675eeadbc3,BUD
e10f064a-276c-497b-ba6f-2e1792bfa941,BUD
ea76b8bb-b508-4adb-9ef1-7ea3a2c3bc02,BUD
2b57cd00-af3f-40d3-95d9-496071e6ab15,EDU
ca2a0e55-4f4e-48d6-b0fc-ddd18042eb15,BUD
dade4da3-4380-4464-a3a9-a530cc994cc5,RES
40dbb24a-97dc-4a8e-a61f-f7e657177f00,UTI
f6b2549a-6d36-4224-a307-e9e68b395256,HOU
e6994f50-0e79-4ff8-9fce-094482ab3b3c,IMM
35e66f4b-8548-4aad-a344-4aee692d60d1,BUD
d6b3c1b8-456f-47f4-a23c-129599157a82,ALC
31622e36-195a-49f8-af9b-cea697fbae3b,NAT
b1658ba3-0eef-4fb0-9f63-e248b4042730,RRR
